INFO  - 2015-11-18 17:13:30.071; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.073; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.075; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.078; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.081; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.084; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.087; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.089; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.092; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.094; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
